,Date,Survey,Borough,Measure,Proportion,MPS
85,12/31/2014,PAS,Lewisham,Informed local,0.5,0.49
86,12/31/2014,PAS,Merton,Informed local,0.55,0.49
87,12/31/2014,PAS,Newham,Informed local,0.58,0.49
88,12/31/2014,PAS,Redbridge,Informed local,0.48,0.49
89,12/31/2014,PAS,Richmond upon Thames,Informed local,0.57,0.49
90,12/31/2014,PAS,Southwark,Informed local,0.4,0.49
91,12/31/2014,PAS,Sutton,Informed local,0.58,0.49
92,12/31/2014,PAS,Tower Hamlets,Informed local,0.44,0.49
93,12/31/2014,PAS,Waltham Forest,Informed local,0.54,0.49
94,12/31/2014,PAS,Wandsworth,Informed local,0.53,0.49
95,12/31/2014,PAS,City of Westminster,Informed local,0.41,0.49
96,12/31/2014,PAS,Barking and Dagenham,Listen to concerns,0.69,0.74
97,12/31/2014,PAS,Barnet,Listen to concerns,0.73,0.74
98,12/31/2014,PAS,Bexley,Listen to concerns,0.78,0.74
99,12/31/2014,PAS,Brent,Listen to concerns,0.78,0.74
100,12/31/2014,PAS,Bromley,Listen to concerns,0.76,0.74
101,12/31/2014,PAS,Camden,Listen to concerns,0.74,0.74
102,12/31/2014,PAS,Croydon,Listen to concerns,0.72,0.74
103,12/31/2014,PAS,Ealing,Listen to concerns,0.72,0.74
104,12/31/2014,PAS,Enfield,Listen to concerns,0.76,0.74
105,12/31/2014,PAS,Greenwich,Listen to concerns,0.71,0.74
106,12/31/2014,PAS,Hackney,Listen to concerns,0.74,0.74
107,12/31/2014,PAS,Hammersmith and Fulham,Listen to concerns,0.72,0.74
108,12/31/2014,PAS,Haringey,Listen to concerns,0.84,0.74
109,12/31/2014,PAS,Harrow,Listen to concerns,0.79,0.74
110,12/31/2014,PAS,Havering,Listen to concerns,0.73,0.74
111,12/31/2014,PAS,Hillingdon,Listen to concerns,0.73,0.74
112,12/31/2014,PAS,Hounslow,Listen to concerns,0.77,0.74
113,12/31/2014,PAS,Islington,Listen to concerns,0.76,0.74
114,12/31/2014,PAS,Kensington and Chelsea,Listen to concerns,0.76,0.74
115,12/31/2014,PAS,Kingston upon Thames,Listen to concerns,0.7,0.74
116,12/31/2014,PAS,Lambeth,Listen to concerns,0.64,0.74
117,12/31/2014,PAS,Lewisham,Listen to concerns,0.68,0.74
118,12/31/2014,PAS,Merton,Listen to concerns,0.72,0.74
119,12/31/2014,PAS,Newham,Listen to concerns,0.66,0.74
120,12/31/2014,PAS,Redbridge,Listen to concerns,0.77,0.74
121,12/31/2014,PAS,Richmond upon Thames,Listen to concerns,0.75,0.74
122,12/31/2014,PAS,Southwark,Listen to concerns,0.7,0.74
123,12/31/2014,PAS,Sutton,Listen to concerns,0.79,0.74
124,12/31/2014,PAS,Tower Hamlets,Listen to concerns,0.69,0.74
125,12/31/2014,PAS,Waltham Forest,Listen to concerns,0.77,0.74
126,12/31/2014,PAS,Wandsworth,Listen to concerns,0.74,0.74
127,12/31/2014,PAS,City of Westminster,Listen to concerns,0.79,0.74
128,12/31/2014,PAS,Barking and Dagenham,Relied on to be there,0.67,0.77
129,12/31/2014,PAS,Barnet,Relied on to be there,0.75,0.77
130,12/31/2014,PAS,Bexley,Relied on to be there,0.78,0.77
131,12/31/2014,PAS,Brent,Relied on to be there,0.78,0.77
132,12/31/2014,PAS,Bromley,Relied on to be there,0.71,0.77
133,12/31/2014,PAS,Camden,Relied on to be there,0.8,0.77
134,12/31/2014,PAS,Croydon,Relied on to be there,0.75,0.77
135,12/31/2014,PAS,Ealing,Relied on to be there,0.75,0.77
136,12/31/2014,PAS,Enfield,Relied on to be there,0.8,0.77
137,12/31/2014,PAS,Greenwich,Relied on to be there,0.76,0.77
138,12/31/2014,PAS,Hackney,Relied on to be there,0.79,0.77
139,12/31/2014,PAS,Hammersmith and Fulham,Relied on to be there,0.78,0.77
140,12/31/2014,PAS,Haringey,Relied on to be there,0.81,0.77
141,12/31/2014,PAS,Harrow,Relied on to be there,0.81,0.77
142,12/31/2014,PAS,Havering,Relied on to be there,0.72,0.77
143,12/31/2014,PAS,Hillingdon,Relied on to be there,0.73,0.77
144,12/31/2014,PAS,Hounslow,Relied on to be there,0.8,0.77
145,12/31/2014,PAS,Islington,Relied on to be there,0.74,0.77
146,12/31/2014,PAS,Kensington and Chelsea,Relied on to be there,0.85,0.77
147,12/31/2014,PAS,Kingston upon Thames,Relied on to be there,0.75,0.77
148,12/31/2014,PAS,Lambeth,Relied on to be there,0.71,0.77
149,12/31/2014,PAS,Lewisham,Relied on to be there,0.74,0.77
150,12/31/2014,PAS,Merton,Relied on to be there,0.77,0.77
151,12/31/2014,PAS,Newham,Relied on to be there,0.74,0.77
152,12/31/2014,PAS,Redbridge,Relied on to be there,0.73,0.77
153,12/31/2014,PAS,Richmond upon Thames,Relied on to be there,0.8,0.77
154,12/31/2014,PAS,Southwark,Relied on to be there,0.76,0.77
155,12/31/2014,PAS,Sutton,Relied on to be there,0.78,0.77
156,12/31/2014,PAS,Tower Hamlets,Relied on to be there,0.75,0.77
157,12/31/2014,PAS,Waltham Forest,Relied on to be there,0.8,0.77
158,12/31/2014,PAS,Wandsworth,Relied on to be there,0.81,0.77
159,12/31/2014,PAS,City of Westminster,Relied on to be there,0.8,0.77
160,12/31/2014,PAS,Barking and Dagenham,Treat everyone fairly,0.71,0.74
161,12/31/2014,PAS,Barnet,Treat everyone fairly,0.74,0.74
162,12/31/2014,PAS,Bexley,Treat everyone fairly,0.78,0.74
163,12/31/2014,PAS,Brent,Treat everyone fairly,0.76,0.74
164,12/31/2014,PAS,Bromley,Treat everyone fairly,0.66,0.74
165,12/31/2014,PAS,Camden,Treat everyone fairly,0.67,0.74
166,12/31/2014,PAS,Croydon,Treat everyone fairly,0.72,0.74
167,12/31/2014,PAS,Ealing,Treat everyone fairly,0.77,0.74
168,12/31/2014,PAS,Enfield,Treat everyone fairly,0.77,0.74
169,12/31/2014,PAS,Greenwich,Treat everyone fairly,0.73,0.74
170,12/31/2014,PAS,Hackney,Treat everyone fairly,0.72,0.74
171,12/31/2014,PAS,Hammersmith and Fulham,Treat everyone fairly,0.72,0.74
172,12/31/2014,PAS,Haringey,Treat everyone fairly,0.78,0.74
173,12/31/2014,PAS,Harrow,Treat everyone fairly,0.8,0.74
174,12/31/2014,PAS,Havering,Treat everyone fairly,0.79,0.74
175,12/31/2014,PAS,Hillingdon,Treat everyone fairly,0.8,0.74
176,12/31/2014,PAS,Hounslow,Treat everyone fairly,0.81,0.74
177,12/31/2014,PAS,Islington,Treat everyone fairly,0.71,0.74
178,12/31/2014,PAS,Kensington and Chelsea,Treat everyone fairly,0.75,0.74
179,12/31/2014,PAS,Kingston upon Thames,Treat everyone fairly,0.72,0.74
180,12/31/2014,PAS,Lambeth,Treat everyone fairly,0.65,0.74
181,12/31/2014,PAS,Lewisham,Treat everyone fairly,0.65,0.74
182,12/31/2014,PAS,Merton,Treat everyone fairly,0.73,0.74
183,12/31/2014,PAS,Newham,Treat everyone fairly,0.72,0.74
184,12/31/2014,PAS,Redbridge,Treat everyone fairly,0.79,0.74
185,12/31/2014,PAS,Richmond upon Thames,Treat everyone fairly,0.75,0.74
186,12/31/2014,PAS,Southwark,Treat everyone fairly,0.72,0.74
187,12/31/2014,PAS,Sutton,Treat everyone fairly,0.78,0.74
188,12/31/2014,PAS,Tower Hamlets,Treat everyone fairly,0.67,0.74
189,12/31/2014,PAS,Waltham Forest,Treat everyone fairly,0.77,0.74
190,12/31/2014,PAS,Wandsworth,Treat everyone fairly,0.73,0.74
191,12/31/2014,PAS,City of Westminster,Treat everyone fairly,0.77,0.74
192,12/31/2014,PAS,Barking and Dagenham,Understand issues,0.63,0.72
193,12/31/2014,PAS,Barnet,Understand issues,0.73,0.72
194,12/31/2014,PAS,Bexley,Understand issues,0.77,0.72
195,12/31/2014,PAS,Brent,Understand issues,0.77,0.72
196,12/31/2014,PAS,Bromley,Understand issues,0.71,0.72
197,12/31/2014,PAS,Camden,Understand issues,0.75,0.72
198,12/31/2014,PAS,Croydon,Understand issues,0.71,0.72
199,12/31/2014,PAS,Ealing,Understand issues,0.73,0.72
200,12/31/2014,PAS,Enfield,Understand issues,0.77,0.72
201,12/31/2014,PAS,Greenwich,Understand issues,0.73,0.72
202,12/31/2014,PAS,Hackney,Understand issues,0.75,0.72
203,12/31/2014,PAS,Hammersmith and Fulham,Understand issues,0.71,0.72
204,12/31/2014,PAS,Haringey,Understand issues,0.81,0.72
205,12/31/2014,PAS,Harrow,Understand issues,0.79,0.72
206,12/31/2014,PAS,Havering,Understand issues,0.66,0.72
207,12/31/2014,PAS,Hillingdon,Understand issues,0.69,0.72
208,12/31/2014,PAS,Hounslow,Understand issues,0.75,0.72
209,12/31/2014,PAS,Islington,Understand issues,0.77,0.72
210,12/31/2014,PAS,Kensington and Chelsea,Understand issues,0.78,0.72
211,12/31/2014,PAS,Kingston upon Thames,Understand issues,0.68,0.72
212,12/31/2014,PAS,Lambeth,Understand issues,0.67,0.72
213,12/31/2014,PAS,Lewisham,Understand issues,0.62,0.72
214,12/31/2014,PAS,Merton,Understand issues,0.71,0.72
215,12/31/2014,PAS,Newham,Understand issues,0.62,0.72
216,12/31/2014,PAS,Redbridge,Understand issues,0.72,0.72
217,12/31/2014,PAS,Richmond upon Thames,Understand issues,0.75,0.72
218,12/31/2014,PAS,Southwark,Understand issues,0.71,0.72
219,12/31/2014,PAS,Sutton,Understand issues,0.79,0.72
220,12/31/2014,PAS,Tower Hamlets,Understand issues,0.63,0.72
221,12/31/2014,PAS,Waltham Forest,Understand issues,0.79,0.72
222,12/31/2014,PAS,Wandsworth,Understand issues,0.71,0.72
223,12/31/2014,PAS,City of Westminster,Understand issues,0.77,0.72
224,3/31/2015,PAS,Barking and Dagenham,"""Good Job"" local",0.57,0.67
225,3/31/2015,PAS,Barnet,"""Good Job"" local",0.64,0.67
226,3/31/2015,PAS,Bexley,"""Good Job"" local",0.7,0.67
227,3/31/2015,PAS,Brent,"""Good Job"" local",0.6,0.67
228,3/31/2015,PAS,Bromley,"""Good Job"" local",0.73,0.67
229,3/31/2015,PAS,Camden,"""Good Job"" local",0.67,0.67
230,3/31/2015,PAS,Croydon,"""Good Job"" local",0.55,0.67
231,3/31/2015,PAS,Ealing,"""Good Job"" local",0.66,0.67
232,3/31/2015,PAS,Enfield,"""Good Job"" local",0.61,0.67
233,3/31/2015,PAS,Greenwich,"""Good Job"" local",0.73,0.67
234,3/31/2015,PAS,Hackney,"""Good Job"" local",0.6,0.67
235,3/31/2015,PAS,Hammersmith and Fulham,"""Good Job"" local",0.71,0.67
236,3/31/2015,PAS,Haringey,"""Good Job"" local",0.65,0.67
237,3/31/2015,PAS,Harrow,"""Good Job"" local",0.75,0.67
238,3/31/2015,PAS,Havering,"""Good Job"" local",0.72,0.67
239,3/31/2015,PAS,Hillingdon,"""Good Job"" local",0.68,0.67
240,3/31/2015,PAS,Hounslow,"""Good Job"" local",0.68,0.67
241,3/31/2015,PAS,Islington,"""Good Job"" local",0.69,0.67
242,3/31/2015,PAS,Kensington and Chelsea,"""Good Job"" local",0.75,0.67
243,3/31/2015,PAS,Kingston upon Thames,"""Good Job"" local",0.75,0.67
244,3/31/2015,PAS,Lambeth,"""Good Job"" local",0.67,0.67
245,3/31/2015,PAS,Lewisham,"""Good Job"" local",0.62,0.67
246,3/31/2015,PAS,Merton,"""Good Job"" local",0.7,0.67
247,3/31/2015,PAS,Newham,"""Good Job"" local",0.61,0.67
248,3/31/2015,PAS,Redbridge,"""Good Job"" local",0.6,0.67
249,3/31/2015,PAS,Richmond upon Thames,"""Good Job"" local",0.83,0.67
250,3/31/2015,PAS,Southwark,"""Good Job"" local",0.71,0.67
251,3/31/2015,PAS,Sutton,"""Good Job"" local",0.72,0.67
252,3/31/2015,PAS,Tower Hamlets,"""Good Job"" local",0.56,0.67
253,3/31/2015,PAS,Waltham Forest,"""Good Job"" local",0.67,0.67
254,3/31/2015,PAS,Wandsworth,"""Good Job"" local",0.7,0.67
255,3/31/2015,PAS,City of Westminster,"""Good Job"" local",0.75,0.67
256,3/31/2015,PAS,Barking and Dagenham,Contact ward officer,0.33,0.42
257,3/31/2015,PAS,Barnet,Contact ward officer,0.35,0.42
258,3/31/2015,PAS,Bexley,Contact ward officer,0.35,0.42
259,3/31/2015,PAS,Brent,Contact ward officer,0.4,0.42
260,3/31/2015,PAS,Bromley,Contact ward officer,0.42,0.42
261,3/31/2015,PAS,Camden,Contact ward officer,0.46,0.42
262,3/31/2015,PAS,Croydon,Contact ward officer,0.36,0.42
263,3/31/2015,PAS,Ealing,Contact ward officer,0.46,0.42
264,3/31/2015,PAS,Enfield,Contact ward officer,0.41,0.42
265,3/31/2015,PAS,Greenwich,Contact ward officer,0.48,0.42
266,3/31/2015,PAS,Hackney,Contact ward officer,0.44,0.42
267,3/31/2015,PAS,Hammersmith and Fulham,Contact ward officer,0.4,0.42
268,3/31/2015,PAS,Haringey,Contact ward officer,0.5,0.42
269,3/31/2015,PAS,Harrow,Contact ward officer,0.37,0.42
270,3/31/2015,PAS,Havering,Contact ward officer,0.43,0.42
271,3/31/2015,PAS,Hillingdon,Contact ward officer,0.49,0.42
272,3/31/2015,PAS,Hounslow,Contact ward officer,0.45,0.42
273,3/31/2015,PAS,Islington,Contact ward officer,0.48,0.42
274,3/31/2015,PAS,Kensington and Chelsea,Contact ward officer,0.38,0.42
275,3/31/2015,PAS,Kingston upon Thames,Contact ward officer,0.4,0.42
276,3/31/2015,PAS,Lambeth,Contact ward officer,0.55,0.42
277,3/31/2015,PAS,Lewisham,Contact ward officer,0.49,0.42
278,3/31/2015,PAS,Merton,Contact ward officer,0.44,0.42
279,3/31/2015,PAS,Newham,Contact ward officer,0.45,0.42
280,3/31/2015,PAS,Redbridge,Contact ward officer,0.3,0.42
281,3/31/2015,PAS,Richmond upon Thames,Contact ward officer,0.4,0.42
282,3/31/2015,PAS,Southwark,Contact ward officer,0.47,0.42
283,3/31/2015,PAS,Sutton,Contact ward officer,0.37,0.42
284,3/31/2015,PAS,Tower Hamlets,Contact ward officer,0.44,0.42
285,3/31/2015,PAS,Waltham Forest,Contact ward officer,0.34,0.42
286,3/31/2015,PAS,Wandsworth,Contact ward officer,0.36,0.42
287,3/31/2015,PAS,City of Westminster,Contact ward officer,0.38,0.42
288,3/31/2015,PAS,Barking and Dagenham,Informed local,0.46,0.47
289,3/31/2015,PAS,Barnet,Informed local,0.44,0.47
290,3/31/2015,PAS,Bexley,Informed local,0.49,0.47
291,3/31/2015,PAS,Brent,Informed local,0.41,0.47
292,3/31/2015,PAS,Bromley,Informed local,0.53,0.47
293,3/31/2015,PAS,Camden,Informed local,0.47,0.47
294,3/31/2015,PAS,Croydon,Informed local,0.49,0.47
295,3/31/2015,PAS,Ealing,Informed local,0.53,0.47
296,3/31/2015,PAS,Enfield,Informed local,0.43,0.47
297,3/31/2015,PAS,Greenwich,Informed local,0.46,0.47
298,3/31/2015,PAS,Hackney,Informed local,0.42,0.47
299,3/31/2015,PAS,Hammersmith and Fulham,Informed local,0.48,0.47
300,3/31/2015,PAS,Haringey,Informed local,0.49,0.47
301,3/31/2015,PAS,Harrow,Informed local,0.46,0.47
302,3/31/2015,PAS,Havering,Informed local,0.48,0.47
303,3/31/2015,PAS,Hillingdon,Informed local,0.49,0.47
304,3/31/2015,PAS,Hounslow,Informed local,0.5,0.47
305,3/31/2015,PAS,Islington,Informed local,0.46,0.47
306,3/31/2015,PAS,Kensington and Chelsea,Informed local,0.42,0.47
307,3/31/2015,PAS,Kingston upon Thames,Informed local,0.57,0.47
308,3/31/2015,PAS,Lambeth,Informed local,0.46,0.47
309,3/31/2015,PAS,Lewisham,Informed local,0.41,0.47
310,3/31/2015,PAS,Merton,Informed local,0.57,0.47
311,3/31/2015,PAS,Newham,Informed local,0.51,0.47
312,3/31/2015,PAS,Redbridge,Informed local,0.39,0.47
313,3/31/2015,PAS,Richmond upon Thames,Informed local,0.6,0.47
314,3/31/2015,PAS,Southwark,Informed local,0.41,0.47
315,3/31/2015,PAS,Sutton,Informed local,0.62,0.47
316,3/31/2015,PAS,Tower Hamlets,Informed local,0.45,0.47
317,3/31/2015,PAS,Waltham Forest,Informed local,0.43,0.47
318,3/31/2015,PAS,Wandsworth,Informed local,0.51,0.47
319,3/31/2015,PAS,City of Westminster,Informed local,0.45,0.47
320,3/31/2015,PAS,Barking and Dagenham,Listen to concerns,0.67,0.74
321,3/31/2015,PAS,Barnet,Listen to concerns,0.72,0.74
322,3/31/2015,PAS,Bexley,Listen to concerns,0.71,0.74
323,3/31/2015,PAS,Brent,Listen to concerns,0.76,0.74
324,3/31/2015,PAS,Bromley,Listen to concerns,0.81,0.74
325,3/31/2015,PAS,Camden,Listen to concerns,0.73,0.74
326,3/31/2015,PAS,Croydon,Listen to concerns,0.65,0.74
327,3/31/2015,PAS,Ealing,Listen to concerns,0.76,0.74
328,3/31/2015,PAS,Enfield,Listen to concerns,0.66,0.74
329,3/31/2015,PAS,Greenwich,Listen to concerns,0.72,0.74
330,3/31/2015,PAS,Hackney,Listen to concerns,0.72,0.74
331,3/31/2015,PAS,Hammersmith and Fulham,Listen to concerns,0.72,0.74
332,3/31/2015,PAS,Haringey,Listen to concerns,0.84,0.74
333,3/31/2015,PAS,Harrow,Listen to concerns,0.8,0.74
334,3/31/2015,PAS,Havering,Listen to concerns,0.71,0.74
335,3/31/2015,PAS,Hillingdon,Listen to concerns,0.75,0.74
336,3/31/2015,PAS,Hounslow,Listen to concerns,0.77,0.74
337,3/31/2015,PAS,Islington,Listen to concerns,0.8,0.74
338,3/31/2015,PAS,Kensington and Chelsea,Listen to concerns,0.73,0.74
339,3/31/2015,PAS,Kingston upon Thames,Listen to concerns,0.74,0.74
340,3/31/2015,PAS,Lambeth,Listen to concerns,0.68,0.74
341,3/31/2015,PAS,Lewisham,Listen to concerns,0.7,0.74
342,3/31/2015,PAS,Merton,Listen to concerns,0.78,0.74
343,3/31/2015,PAS,Newham,Listen to concerns,0.69,0.74
344,3/31/2015,PAS,Redbridge,Listen to concerns,0.79,0.74
345,3/31/2015,PAS,Richmond upon Thames,Listen to concerns,0.8,0.74
346,3/31/2015,PAS,Southwark,Listen to concerns,0.69,0.74
347,3/31/2015,PAS,Sutton,Listen to concerns,0.83,0.74
348,3/31/2015,PAS,Tower Hamlets,Listen to concerns,0.69,0.74
349,3/31/2015,PAS,Waltham Forest,Listen to concerns,0.79,0.74
350,3/31/2015,PAS,Wandsworth,Listen to concerns,0.74,0.74
351,3/31/2015,PAS,City of Westminster,Listen to concerns,0.83,0.74
352,3/31/2015,PAS,Barking and Dagenham,Relied on to be there,0.69,0.77
353,3/31/2015,PAS,Barnet,Relied on to be there,0.75,0.77
354,3/31/2015,PAS,Bexley,Relied on to be there,0.76,0.77
355,3/31/2015,PAS,Brent,Relied on to be there,0.74,0.77
356,3/31/2015,PAS,Bromley,Relied on to be there,0.77,0.77
357,3/31/2015,PAS,Camden,Relied on to be there,0.8,0.77
358,3/31/2015,PAS,Croydon,Relied on to be there,0.66,0.77
359,3/31/2015,PAS,Ealing,Relied on to be there,0.79,0.77
360,3/31/2015,PAS,Enfield,Relied on to be there,0.72,0.77
361,3/31/2015,PAS,Greenwich,Relied on to be there,0.78,0.77
362,3/31/2015,PAS,Hackney,Relied on to be there,0.79,0.77
363,3/31/2015,PAS,Hammersmith and Fulham,Relied on to be there,0.77,0.77
364,3/31/2015,PAS,Haringey,Relied on to be there,0.8,0.77
365,3/31/2015,PAS,Harrow,Relied on to be there,0.8,0.77
366,3/31/2015,PAS,Havering,Relied on to be there,0.71,0.77
367,3/31/2015,PAS,Hillingdon,Relied on to be there,0.78,0.77
368,3/31/2015,PAS,Hounslow,Relied on to be there,0.78,0.77
369,3/31/2015,PAS,Islington,Relied on to be there,0.8,0.77
370,3/31/2015,PAS,Kensington and Chelsea,Relied on to be there,0.84,0.77
371,3/31/2015,PAS,Kingston upon Thames,Relied on to be there,0.8,0.77
372,3/31/2015,PAS,Lambeth,Relied on to be there,0.76,0.77
373,3/31/2015,PAS,Lewisham,Relied on to be there,0.77,0.77
374,3/31/2015,PAS,Merton,Relied on to be there,0.83,0.77
375,3/31/2015,PAS,Newham,Relied on to be there,0.74,0.77
376,3/31/2015,PAS,Redbridge,Relied on to be there,0.74,0.77
377,3/31/2015,PAS,Richmond upon Thames,Relied on to be there,0.82,0.77
378,3/31/2015,PAS,Southwark,Relied on to be there,0.75,0.77
379,3/31/2015,PAS,Sutton,Relied on to be there,0.77,0.77
380,3/31/2015,PAS,Tower Hamlets,Relied on to be there,0.8,0.77
381,3/31/2015,PAS,Waltham Forest,Relied on to be there,0.77,0.77
382,3/31/2015,PAS,Wandsworth,Relied on to be there,0.81,0.77
383,3/31/2015,PAS,City of Westminster,Relied on to be there,0.82,0.77
384,3/31/2015,PAS,Barking and Dagenham,Treat everyone fairly,0.74,0.75
385,3/31/2015,PAS,Barnet,Treat everyone fairly,0.74,0.75
386,3/31/2015,PAS,Bexley,Treat everyone fairly,0.78,0.75
387,3/31/2015,PAS,Brent,Treat everyone fairly,0.78,0.75
388,3/31/2015,PAS,Bromley,Treat everyone fairly,0.73,0.75
389,3/31/2015,PAS,Camden,Treat everyone fairly,0.68,0.75
390,3/31/2015,PAS,Croydon,Treat everyone fairly,0.66,0.75
391,3/31/2015,PAS,Ealing,Treat everyone fairly,0.82,0.75
392,3/31/2015,PAS,Enfield,Treat everyone fairly,0.71,0.75
393,3/31/2015,PAS,Greenwich,Treat everyone fairly,0.76,0.75
394,3/31/2015,PAS,Hackney,Treat everyone fairly,0.7,0.75
395,3/31/2015,PAS,Hammersmith and Fulham,Treat everyone fairly,0.72,0.75
